,count,mean,std,min,25%,50%,75%,max
home_win_percentageS,19180.0,0.49,0.19,0.0,0.36,0.5,0.62,1.0
away_win_percentageS,19180.0,0.5,0.19,0.0,0.37,0.5,0.62,1.0
colley_home_ratingS,19180.0,0.5,0.15,0.02,0.39,0.5,0.61,0.92
colley_away_ratingS,19180.0,0.5,0.15,0.03,0.39,0.5,0.61,0.94
massey_home_overall_ratingS,18614.0,-0.04,5.26,-41.22,-3.37,-0.16,3.46,45.23
massey_home_offensive_ratingS,18614.0,50.37,5.84,-73.2,46.65,50.13,53.71,166.29
massey_home_defensive_ratingS,18614.0,-50.4,5.76,-175.95,-53.57,-50.51,-47.08,71.0
massey_away_overall_ratingS,18614.0,0.04,5.24,-56.17,-3.26,-0.1,3.52,45.33
massey_away_offensive_ratingS,18614.0,50.44,5.88,-69.2,46.68,50.21,53.79,167.84
massey_away_defensive_ratingS,18614.0,-50.4,5.75,-170.95,-53.57,-50.46,-47.06,65.0
od_home_overall_ratingS,18846.0,4098.26,2346.5,75.0,2074.03,4053.11,6060.87,9709.79
od_home_offensive_ratingS,18846.0,5.984096408062968e+298,inf,0.0,2079.83,4063.28,6057.7,5.8665096243448174e+302
od_home_defensive_ratingS,18846.0,5.685602287945814e+296,inf,0.0,0.95,0.99,1.03,5.35754303593134e+300
od_away_overall_ratingS,18846.0,4102.07,2348.28,83.0,2075.06,4061.5,6064.09,9577.75
od_away_offensive_ratingS,18846.0,2.8285871382530423e+298,inf,0.0,2095.85,4069.08,6067.96,5.330755320751684e+302
od_away_defensive_ratingS,18846.0,2.842801143972907e+296,inf,0.0,0.95,0.99,1.03,5.35754303593134e+300
markov_home_rating1S,19180.0,0.03,0.01,0.01,0.03,0.03,0.04,0.16
markov_away_rating1S,19180.0,0.03,0.01,0.01,0.03,0.03,0.04,0.2
markov_home_rating2S,19180.0,0.03,0.01,0.01,0.02,0.03,0.04,0.16
markov_away_rating2S,19180.0,0.03,0.01,0.01,0.02,0.03,0.04,0.23
markov_home_rating3S,19180.0,0.03,0.0,0.02,0.03,0.03,0.03,0.05
markov_away_rating3S,19180.0,0.03,0.0,0.02,0.03,0.03,0.03,0.05
home_win_percentageP,19180.0,0.5,0.15,0.0,0.39,0.5,0.61,1.0
away_win_percentageP,19180.0,0.5,0.15,0.0,0.39,0.5,0.61,1.0
colley_home_ratingP,19180.0,0.5,0.14,0.11,0.4,0.5,0.6,0.88
colley_away_ratingP,19180.0,0.5,0.14,0.1,0.4,0.5,0.6,0.88
massey_home_overall_ratingP,19151.0,-0.02,4.26,-45.06,-2.88,-0.02,2.96,36.57
massey_home_offensive_ratingP,19151.0,50.33,4.43,7.0,47.18,49.95,53.14,99.94
massey_home_defensive_ratingP,19151.0,-50.35,4.4,-98.0,-53.22,-50.57,-47.48,-9.06
massey_away_overall_ratingP,19151.0,0.02,4.25,-50.06,-2.84,-0.01,3.01,36.94
massey_away_offensive_ratingP,19151.0,50.34,4.47,2.0,47.2,49.97,53.15,92.94
massey_away_defensive_ratingP,19151.0,-50.32,4.4,-90.0,-53.2,-50.57,-47.44,-6.06
od_home_overall_ratingP,19151.0,11687.37,3183.16,128.39,9734.42,11869.55,14061.85,18750.25
od_home_offensive_ratingP,19151.0,6233814.47,719189561.08,0.0,9697.37,11849.83,14027.41,97052202437.97
od_home_defensive_ratingP,19151.0,35071.98,3817402.64,0.0,0.97,1.0,1.03,499564130.93
od_away_overall_ratingP,19151.0,11691.87,3186.22,123.1,9721.14,11884.41,14070.91,18767.79
od_away_offensive_ratingP,19151.0,16961.48,722437.86,0.0,9701.77,11855.56,14033.03,99981362.13
od_away_defensive_ratingP,19151.0,35.04,4643.41,0.0,0.97,1.0,1.03,642556.74
markov_home_rating1P,19180.0,0.03,0.01,0.01,0.03,0.03,0.04,0.12
markov_away_rating1P,19180.0,0.03,0.01,0.01,0.03,0.03,0.04,0.14
markov_home_rating2P,19180.0,0.03,0.01,0.01,0.03,0.03,0.04,0.12
markov_away_rating2P,19180.0,0.03,0.01,0.01,0.03,0.03,0.04,0.13
markov_home_rating3P,19180.0,0.03,0.0,0.02,0.03,0.03,0.03,0.04
markov_away_rating3P,19180.0,0.03,0.0,0.02,0.03,0.03,0.03,0.05
