Columns,Feature Count,Mean,SD,Time
"[1, 7, 17, 40]",4,0.6380344108446299,0.008471564893445275,0.660956621170044
"[1, 2, 5, 27]",4,0.6383472367049009,0.006456495123638379,2.5603013038635254
"[7, 24, 29, 34]",4,0.6433263816475495,0.006956810762928436,8.437353372573853
"[10, 13, 22, 23]",4,0.6477841501564129,0.0052338637602745266,12.103037357330322
"[17, 24, 40, 44]",4,0.6485662148070908,0.009366255912513142,14.885159730911255
"[20, 25, 26, 44]",4,0.6562043795620438,0.007936918092284915,79.5162079334259
"[4, 18, 29, 44]",4,0.6576903023983316,0.008506947956010204,146.19114208221436
"[2, 17, 23, 44]",4,0.6612356621480708,0.00766995062462741,209.60655975341797
"[4, 7, 27, 44]",4,0.6616788321167884,0.006833612319303084,1271.474145412445
"[0, 7, 26, 44]",4,0.6623044838373306,0.008802773706594618,2997.528386592865
"[4, 24, 29, 33, 44]",5,0.664468196037539,0.009618264781504135,3473.7431428432465
"[2, 3, 21, 38, 41, 44]",6,0.6657977059436914,0.009167926857281884,9001.45506811142
"[3, 4, 24, 38, 39, 44]",6,0.6670750782064652,0.007778344055142758,9151.91657614708
"[4, 7, 24, 30, 39, 44]",6,0.6680135557872784,0.008307941655321024,10024.674038171768
"[4, 7, 18, 24, 39, 43, 44]",7,0.6683263816475495,0.008757766231212822,11705.095082998276
"[1, 9, 10, 13, 16, 26, 29, 44]",8,0.6693952033368091,0.009182592112923224,21378.521577119827
"[0, 3, 8, 10, 13, 23, 26, 28, 37, 42, 44]",11,0.6697862356621481,0.008862670950868963,49204.41023826599
"[4, 7, 10, 13, 15, 17, 18, 22, 24, 29, 32, 33, 34, 37, 44]",15,0.6698383733055266,0.008359316342452548,94147.25965571404
"[0, 4, 6, 7, 9, 10, 13, 17, 19, 21, 26, 29, 34, 38, 44]",15,0.6701251303441084,0.008782678493950176,99546.49746322632
"[0, 3, 7, 10, 11, 13, 17, 19, 21, 24, 26, 27, 28, 29, 32, 39, 44]",17,0.670385818561001,0.008105852679338174,122253.49648618698
"[0, 1, 3, 6, 7, 10, 12, 13, 17, 19, 26, 30, 32, 33, 38, 39, 40, 42, 44]",19,0.6706204379562044,0.008596586754151392,163155.04002785683
"[0, 1, 2, 3, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 44]",34,0.6707247132429615,0.008820704690692084,529027.4936349392
